01/01/1994 00:05 0.000
01/01/1994 00:10 0.000
01/01/1994 00:15 0.000
01/01/1994 00:20 0.000
01/01/1994 00:25 0.000
01/01/1994 00:30 0.000
01/01/1994 00:35 0.000
01/01/1994 00:40 0.000
01/01/1994 00:45 0.000
01/01/1994 00:50 0.000
01/01/1994 00:55 0.000
01/01/1994 01:00 0.000
01/01/1994 01:05 0.000
01/01/1994 01:10 0.000
01/01/1994 01:15 0.000
01/01/1994 01:20 0.000
01/01/1994 01:25 0.000
01/01/1994 01:30 0.000
01/01/1994 01:35 0.000
01/01/1994 01:40 0.000
01/01/1994 01:45 0.000
01/01/1994 01:50 0.000
01/01/1994 01:55 0.000
01/01/1994 02:00 0.000
01/01/1994 02:05 0.000
01/01/1994 02:10 0.000
01/01/1994 02:15 0.000
01/01/1994 02:20 0.000
01/01/1994 02:25 0.000
01/01/1994 02:30 0.000
01/01/1994 02:35 0.000
01/01/1994 02:40 0.000
01/01/1994 02:45 0.000
01/01/1994 02:50 0.000
01/01/1994 02:55 0.000
01/01/1994 03:00 0.000
01/01/1994 03:05 0.000
01/01/1994 03:10 0.000
01/01/1994 03:15 0.000
01/01/1994 03:20 0.000
01/01/1994 03:25 0.000
01/01/1994 03:30 0.000
01/01/1994 03:35 0.000
01/01/1994 03:40 0.000
01/01/1994 03:45 0.000
01/01/1994 03:50 0.000
01/01/1994 03:55 0.000
01/01/1994 04:00 0.000
01/01/1994 04:05 0.000
01/01/1994 04:10 0.000
01/01/1994 04:15 0.000
01/01/1994 04:20 0.000
01/01/1994 04:25 0.000
01/01/1994 04:30 0.000
01/01/1994 04:35 0.000
01/01/1994 04:40 0.000
01/01/1994 04:45 0.000
01/01/1994 04:50 0.000
01/01/1994 04:55 0.000
01/01/1994 05:00 0.000
01/01/1994 05:05 0.000
01/01/1994 05:10 0.000
01/01/1994 05:15 0.000
01/01/1994 05:20 0.000
01/01/1994 05:25 0.000
01/01/1994 05:30 0.000
01/01/1994 05:35 0.000
01/01/1994 05:40 0.000
01/01/1994 05:45 0.000
01/01/1994 05:50 0.000
01/01/1994 05:55 0.000
01/01/1994 06:00 0.000
01/01/1994 06:05 0.200
01/01/1994 06:10 0.400
01/01/1994 06:15 0.600
01/01/1994 06:20 0.600
01/01/1994 06:25 0.600
01/01/1994 06:30 0.600
01/01/1994 06:35 0.600
01/01/1994 06:40 0.600
01/01/1994 06:45 0.600
01/01/1994 06:50 0.800
01/01/1994 06:55 0.800
01/01/1994 07:00 0.800
01/01/1994 07:05 0.800
01/01/1994 07:10 0.800
01/01/1994 07:15 0.800
01/01/1994 07:20 1.000
01/01/1994 07:25 1.000
01/01/1994 07:30 1.200
01/01/1994 07:35 1.600
01/01/1994 07:40 2.200
