;;EPA SWMM Time Series Data
;;Flow (m³/s)
09/11/1984	00:00:00	0.007
09/12/1984	00:00:00	0.01
09/13/1984	00:00:00	0.013
09/14/1984	00:00:00	0.013
09/15/1984	00:00:00	0.013
09/16/1984	00:00:00	0.019
09/17/1984	00:00:00	0.019
09/18/1984	00:00:00	0.019
09/19/1984	00:00:00	0.021
09/20/1984	00:00:00	0.023
09/21/1984	00:00:00	0.029
09/22/1984	00:00:00	0.021
09/23/1984	00:00:00	0.019
09/24/1984	00:00:00	0.019
09/25/1984	00:00:00	0.016
09/26/1984	00:00:00	0.016
09/27/1984	00:00:00	0.013
09/28/1984	00:00:00	0.01
09/29/1984	00:00:00	0.009
09/30/1984	00:00:00	0.009
